SITE CODE= 41329éÖãõêÏésàÍÇÃã{          ,37.4962,137.2705, 15.86,7.6,45292.6738723, 12.58, 21.45
 LAT.=   37.0388
 LON.=  137.8633
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 10 10
 NS,EW,UD
-0.029,0.029,0.005
-0.021,0.008,-0.009
0.016,-0.040,-0.001
0.032,-0.050,0.012
0.008,-0.008,0.012
-0.024,0.035,0.003
-0.023,0.029,0.002
0.008,-0.014,0.014
0.029,-0.037,0.025
0.016,-0.018,0.022
-0.012,0.010,0.007
-0.016,0.005,-0.002
0.008,-0.023,0.002
0.030,-0.033,0.008
0.025,-0.005,0.008
0.003,0.025,0.003
-0.011,0.020,0.003
-0.004,-0.017,0.009
0.006,-0.043,0.015
0.004,-0.028,0.014
-0.007,0.007,0.009
-0.012,0.025,0.007
-0.007,0.016,0.010
-0.003,-0.003,0.012
-0.005,-0.011,0.012
-0.011,-0.007,0.014
-0.011,-0.003,0.014
-0.010,-0.004,0.009
-0.018,-0.003,-0.004
-0.030,-0.001,-0.017
-0.033,-0.005,-0.018
-0.020,-0.016,-0.005
-0.005,-0.021,0.012
-0.003,-0.011,0.018
-0.015,0.006,0.013
-0.029,0.011,0.006
-0.033,-0.003,0.004
-0.028,-0.018,0.006
-0.024,-0.018,0.006
-0.023,-0.004,0.003
-0.020,0.004,0.000
-0.018,0.000,-0.002
-0.021,-0.007,-0.003
-0.029,-0.009,-0.003
-0.034,-0.006,0.000
-0.025,-0.010,0.008
-0.012,-0.017,0.016
-0.007,-0.015,0.019
-0.020,-0.001,0.013
-0.035,0.012,0.006
-0.037,0.007,0.003
-0.027,-0.014,0.002
-0.020,-0.024,0.001
-0.025,-0.011,0.001
-0.037,0.010,0.006
-0.037,0.016,0.016
-0.025,0.004,0.020
-0.015,-0.005,0.011
-0.020,0.000,-0.007
-0.034,0.009,-0.020
-0.041,0.002,-0.016
-0.033,-0.016,0.002
-0.024,-0.023,0.018
-0.025,-0.003,0.024
-0.036,0.026,0.020
-0.041,0.034,0.014
-0.033,0.019,0.007
-0.020,-0.001,-0.000
-0.015,-0.005,-0.007
-0.018,0.005,-0.008
-0.021,0.010,0.000
-0.018,0.004,0.011
-0.016,-0.001,0.014
-0.021,0.005,0.009
-0.028,0.013,0.000
-0.029,0.011,-0.003
-0.022,0.001,0.000
-0.014,-0.003,0.006
-0.013,0.009,0.008
-0.016,0.024,0.007
-0.015,0.025,0.005
-0.008,0.011,0.004
-0.003,0.000,0.003
-0.009,0.005,0.003
-0.020,0.022,0.004
-0.024,0.029,0.003
-0.015,0.019,0.001
-0.002,0.003,-0.000
0.003,-0.003,0.002
-0.006,0.007,0.006
-0.018,0.020,0.010
-0.022,0.023,0.009
-0.016,0.019,0.006
-0.007,0.011,0.006
-0.005,0.008,0.009
-0.009,0.010,0.012
-0.014,0.012,0.009
-0.013,0.016,-0.000
-0.007,0.021,-0.012
-0.001,0.027,-0.018
0.001,0.029,-0.015
-0.003,0.025,-0.007
-0.010,0.018,0.004
-0.014,0.011,0.013
-0.013,0.012,0.016
-0.008,0.019,0.011
-0.003,0.025,0.003
-0.002,0.026,-0.004
-0.003,0.021,-0.003
-0.005,0.017,0.004
-0.005,0.019,0.010
-0.001,0.026,0.010
0.006,0.032,0.005
0.009,0.032,0.000
0.007,0.028,-0.003
0.001,0.023,-0.005
-0.001,0.021,-0.005
0.005,0.020,-0.002
0.014,0.022,0.003
0.016,0.029,0.007
0.005,0.038,0.006
-0.012,0.043,0.003
-0.018,0.035,0.000
-0.010,0.019,0.003
0.007,0.006,0.007
0.017,0.008,0.009
0.015,0.025,0.005
0.007,0.043,-0.000
0.002,0.046,-0.005
0.005,0.032,-0.006
0.013,0.012,-0.005
0.018,0.002,-0.000
0.018,0.007,0.006
0.014,0.021,0.009
0.010,0.033,0.006
0.011,0.034,-0.002
0.015,0.025,-0.010
0.020,0.015,-0.008
0.022,0.009,0.004
0.022,0.011,0.020
0.020,0.021,0.027
0.017,0.032,0.020
0.013,0.037,0.004
0.011,0.030,-0.013
0.016,0.014,-0.020
0.025,0.001,-0.016
0.034,0.003,-0.007
0.036,0.019,-0.000
0.026,0.033,0.000
0.015,0.032,-0.003
0.010,0.012,-0.005
0.014,-0.006,-0.003
0.021,-0.008,0.002
0.024,0.008,0.003
0.024,0.028,0.002
0.025,0.034,0.000
0.026,0.025,-0.002
0.025,0.011,-0.005
