SITE CODE= 47254è„âzésíÜÉmñì            ,37.4962,137.2705, 15.86,7.6,45292.6738723, 15.25, 26.04
 LAT.=   37.1063
 LON.=  138.1601
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2024 01 01 16 09 10
 NS,EW,UD
0.102,-0.053,0.067
0.094,-0.028,0.050
0.080,-0.009,0.026
0.052,0.003,0.011
0.014,0.008,0.012
-0.025,0.003,0.024
-0.054,-0.014,0.036
-0.071,-0.046,0.040
-0.082,-0.088,0.030
-0.098,-0.128,0.010
-0.129,-0.152,-0.014
-0.177,-0.151,-0.034
-0.235,-0.126,-0.041
-0.291,-0.078,-0.033
-0.329,-0.013,-0.014
-0.343,0.056,0.012
-0.335,0.116,0.037
-0.311,0.153,0.055
-0.280,0.161,0.063
-0.248,0.142,0.057
-0.214,0.102,0.041
-0.178,0.050,0.018
-0.141,0.001,-0.006
-0.101,-0.033,-0.025
-0.060,-0.048,-0.035
-0.021,-0.046,-0.034
0.014,-0.033,-0.025
0.044,-0.014,-0.011
0.073,0.009,0.003
0.104,0.030,0.014
0.135,0.050,0.021
0.164,0.067,0.021
0.188,0.080,0.014
0.210,0.091,0.001
0.235,0.096,-0.010
0.261,0.094,-0.013
0.288,0.086,-0.005
0.311,0.074,0.014
0.321,0.062,0.038
0.315,0.054,0.063
0.291,0.054,0.088
0.255,0.061,0.111
0.216,0.071,0.128
0.179,0.083,0.137
0.143,0.096,0.137
0.106,0.108,0.131
0.067,0.118,0.120
0.032,0.124,0.108
0.007,0.120,0.094
-0.003,0.101,0.079
-0.002,0.065,0.062
0.004,0.019,0.041
0.005,-0.035,0.018
-0.005,-0.089,-0.008
-0.027,-0.136,-0.030
-0.059,-0.168,-0.049
-0.093,-0.181,-0.064
-0.127,-0.178,-0.079
-0.158,-0.166,-0.096
-0.192,-0.153,-0.114
-0.229,-0.143,-0.133
-0.267,-0.138,-0.148
-0.298,-0.138,-0.156
-0.315,-0.139,-0.158
-0.316,-0.134,-0.155
-0.302,-0.118,-0.150
-0.280,-0.091,-0.145
-0.256,-0.055,-0.136
-0.237,-0.018,-0.123
-0.220,0.009,-0.105
-0.196,0.016,-0.087
-0.162,0.002,-0.073
-0.119,-0.025,-0.064
-0.079,-0.053,-0.057
-0.048,-0.072,-0.049
-0.028,-0.079,-0.039
-0.012,-0.077,-0.026
0.008,-0.073,-0.013
0.034,-0.072,-0.001
0.068,-0.074,0.010
0.104,-0.076,0.021
0.139,-0.071,0.032
0.168,-0.055,0.044
0.192,-0.027,0.059
0.215,0.012,0.079
0.240,0.060,0.102
0.266,0.108,0.121
0.290,0.148,0.131
0.306,0.173,0.131
0.313,0.182,0.130
0.315,0.180,0.132
0.311,0.179,0.141
0.301,0.185,0.149
0.282,0.198,0.149
0.253,0.216,0.138
0.218,0.230,0.118
0.181,0.239,0.096
0.146,0.239,0.076
0.116,0.231,0.062
0.091,0.214,0.053
0.071,0.188,0.044
0.052,0.153,0.030
0.029,0.115,0.006
0.001,0.080,-0.021
-0.033,0.053,-0.043
-0.069,0.036,-0.054
-0.102,0.027,-0.057
-0.127,0.022,-0.055
-0.147,0.017,-0.055
-0.164,0.010,-0.055
-0.180,0.003,-0.052
-0.194,-0.003,-0.043
-0.203,-0.005,-0.034
-0.205,-0.008,-0.028
-0.202,-0.016,-0.026
-0.197,-0.031,-0.028
-0.190,-0.053,-0.032
-0.179,-0.078,-0.038
-0.164,-0.098,-0.046
-0.148,-0.110,-0.053
-0.133,-0.111,-0.056
-0.122,-0.100,-0.053
-0.115,-0.080,-0.046
-0.111,-0.057,-0.037
-0.106,-0.039,-0.031
-0.101,-0.029,-0.029
-0.091,-0.026,-0.030
-0.075,-0.024,-0.031
-0.050,-0.019,-0.029
-0.021,-0.007,-0.024
0.006,0.010,-0.015
0.028,0.028,-0.007
0.044,0.044,-0.002
0.056,0.055,-0.000
0.067,0.057,-0.002
0.080,0.052,-0.006
0.093,0.047,-0.009
0.104,0.048,-0.007
0.106,0.057,0.001
0.099,0.070,0.012
0.084,0.081,0.021
0.069,0.083,0.023
0.060,0.073,0.017
0.058,0.050,0.007
0.059,0.016,-0.001
0.061,-0.024,-0.005
0.056,-0.063,-0.003
0.043,-0.096,0.003
0.022,-0.119,0.010
-0.003,-0.133,0.018
-0.030,-0.138,0.020
-0.062,-0.137,0.014
-0.096,-0.132,0.003
-0.130,-0.125,-0.007
-0.155,-0.116,-0.012
-0.164,-0.104,-0.010
-0.153,-0.088,-0.003
-0.125,-0.071,0.007
-0.089,-0.054,0.018
-0.054,-0.037,0.026
-0.028,-0.020,0.026
-0.015,-0.009,0.020
-0.011,-0.004,0.008
-0.006,-0.006,-0.004
0.008,-0.011,-0.014
0.036,-0.016,-0.019
0.072,-0.019,-0.019
0.107,-0.019,-0.014
0.133,-0.016,-0.007
0.149,-0.013,0.001
0.162,-0.009,0.007
0.175,-0.004,0.010
0.190,0.006,0.012
0.204,0.024,0.015
0.212,0.048,0.020
0.210,0.074,0.025
0.201,0.099,0.029
0.186,0.117,0.031
0.174,0.125,0.033
0.168,0.121,0.037
0.169,0.106,0.038
0.171,0.087,0.029
0.168,0.067,0.010
0.152,0.052,-0.012
0.120,0.043,-0.028
0.076,0.044,-0.033
0.024,0.050,-0.030
-0.026,0.057,-0.022
-0.070,0.058,-0.016
-0.107,0.052,-0.014
-0.137,0.043,-0.016
-0.161,0.035,-0.025
-0.180,0.031,-0.037
-0.198,0.029,-0.047
-0.216,0.025,-0.050
-0.233,0.020,-0.046
-0.246,0.012,-0.039
-0.247,0.002,-0.034
-0.235,-0.012,-0.033
-0.212,-0.030,-0.034
-0.184,-0.047,-0.035
-0.158,-0.058,-0.035
-0.141,-0.063,-0.033
-0.133,-0.063,-0.030
-0.128,-0.061,-0.026
-0.115,-0.060,-0.020
-0.085,-0.061,-0.014
-0.044,-0.067,-0.010
-0.002,-0.076,-0.007
0.031,-0.087,-0.003
0.053,-0.096,0.003
0.069,-0.104,0.009
0.085,-0.108,0.016
0.101,-0.110,0.020
0.117,-0.106,0.022
0.129,-0.096,0.024
0.136,-0.077,0.024
0.136,-0.055,0.026
0.130,-0.036,0.030
0.123,-0.023,0.035
0.114,-0.017,0.042
0.104,-0.012,0.049
0.091,-0.006,0.053
0.073,0.004,0.055
0.053,0.022,0.058
0.038,0.045,0.059
0.028,0.071,0.057
0.020,0.094,0.047
0.008,0.115,0.032
-0.009,0.135,0.020
-0.030,0.157,0.014
-0.052,0.180,0.017
-0.073,0.200,0.022
-0.094,0.215,0.024
-0.115,0.225,0.022
-0.135,0.230,0.014
-0.152,0.231,0.003
-0.166,0.226,-0.007
-0.177,0.219,-0.015
-0.185,0.212,-0.020
-0.190,0.207,-0.021
-0.192,0.198,-0.019
-0.188,0.182,-0.016
-0.174,0.154,-0.016
-0.151,0.118,-0.021
-0.126,0.077,-0.035
-0.104,0.034,-0.055
-0.094,-0.010,-0.077
-0.096,-0.050,-0.094
-0.103,-0.085,-0.104
-0.105,-0.116,-0.101
-0.093,-0.144,-0.088
-0.065,-0.169,-0.070
-0.025,-0.190,-0.055
0.019,-0.204,-0.047
0.061,-0.214,-0.045
0.095,-0.221,-0.046
0.122,-0.226,-0.047
0.144,-0.227,-0.046
0.160,-0.219,-0.045
0.167,-0.207,-0.041
0.163,-0.192,-0.029
0.152,-0.177,-0.008
0.142,-0.159,0.021
0.140,-0.139,0.053
0.145,-0.117,0.078
0.151,-0.096,0.094
0.146,-0.075,0.100
0.130,-0.057,0.100
0.107,-0.041,0.096
0.090,-0.033,0.092
0.084,-0.034,0.088
0.087,-0.044,0.086
0.092,-0.058,0.083
0.092,-0.070,0.077
0.083,-0.074,0.068
0.063,-0.067,0.061
0.040,-0.049,0.061
0.021,-0.020,0.068
0.011,0.015,0.076
0.010,0.048,0.080
0.011,0.072,0.075
0.007,0.087,0.067
-0.004,0.095,0.059
-0.020,0.102,0.053
-0.035,0.106,0.048
-0.044,0.104,0.035
-0.048,0.092,0.016
-0.049,0.073,-0.009
-0.048,0.052,-0.033
-0.049,0.037,-0.050
-0.051,0.032,-0.060
-0.055,0.035,-0.063
-0.060,0.044,-0.058
-0.062,0.055,-0.048
-0.059,0.061,-0.039
-0.052,0.061,-0.035
-0.043,0.052,-0.040
-0.036,0.038,-0.049
-0.035,0.020,-0.058
-0.038,0.001,-0.063
-0.046,-0.019,-0.064
-0.059,-0.035,-0.061
-0.075,-0.043,-0.056
-0.093,-0.044,-0.050
-0.109,-0.041,-0.043
-0.119,-0.037,-0.032
-0.121,-0.032,-0.018
-0.117,-0.026,-0.004
-0.113,-0.020,0.003
-0.108,-0.014,0.004
-0.104,-0.009,0.002
-0.095,-0.005,0.001
-0.082,-0.003,0.003
-0.063,-0.001,0.008
-0.042,0.003,0.011
-0.028,0.007,0.011
-0.022,0.011,0.009
-0.026,0.013,0.010
-0.032,0.016,0.015
-0.033,0.019,0.021
-0.026,0.021,0.027
-0.010,0.024,0.029
0.008,0.026,0.028
0.020,0.031,0.027
0.021,0.038,0.024
0.009,0.047,0.020
-0.008,0.054,0.012
-0.021,0.057,0.001
-0.023,0.058,-0.010
-0.009,0.056,-0.019
0.017,0.050,-0.025
0.048,0.039,-0.030
0.078,0.023,-0.035
0.102,0.005,-0.041
0.116,-0.012,-0.046
0.119,-0.024,-0.047
0.112,-0.029,-0.042
0.093,-0.028,-0.032
0.065,-0.022,-0.021
0.037,-0.016,-0.011
0.013,-0.013,-0.005
0.000,-0.013,-0.003
0.001,-0.016,-0.004
0.012,-0.021,-0.008
0.027,-0.028,-0.014
0.043,-0.036,-0.022
0.057,-0.041,-0.030
0.067,-0.043,-0.037
0.073,-0.041,-0.041
0.074,-0.037,-0.042
0.073,-0.033,-0.042
0.072,-0.031,-0.042
0.071,-0.033,-0.042
0.068,-0.037,-0.042
0.063,-0.042,-0.041
0.057,-0.043,-0.038
0.048,-0.039,-0.035
0.036,-0.028,-0.031
0.019,-0.013,-0.028
0.000,0.003,-0.022
-0.017,0.020,-0.010
-0.028,0.036,0.009
-0.030,0.050,0.029
-0.021,0.057,0.042
-0.007,0.052,0.047
0.006,0.039,0.046
0.010,0.022,0.043
0.007,0.011,0.040
-0.003,0.006,0.039
-0.015,0.008,0.041
-0.028,0.016,0.051
-0.041,0.030,0.067
-0.055,0.048,0.084
-0.069,0.065,0.098
-0.087,0.080,0.103
-0.104,0.087,0.101
-0.117,0.086,0.096
-0.123,0.077,0.093
-0.120,0.060,0.092
-0.111,0.034,0.091
-0.097,0.000,0.084
-0.081,-0.036,0.070
-0.068,-0.065,0.051
-0.062,-0.082,0.032
-0.063,-0.083,0.020
-0.069,-0.074,0.017
-0.072,-0.062,0.022
-0.067,-0.055,0.030
-0.049,-0.062,0.037
-0.020,-0.082,0.038
0.015,-0.112,0.028
0.050,-0.143,0.009
0.077,-0.170,-0.012
0.096,-0.187,-0.027
0.108,-0.189,-0.032
0.115,-0.177,-0.029
0.123,-0.156,-0.023
0.136,-0.132,-0.020
0.155,-0.108,-0.020
0.173,-0.084,-0.020
0.185,-0.059,-0.019
0.187,-0.031,-0.019
0.178,-0.004,-0.021
0.161,0.019,-0.025
0.143,0.033,-0.029
0.132,0.041,-0.031
0.131,0.043,-0.030
0.136,0.047,-0.026
0.138,0.055,-0.020
0.129,0.069,-0.014
0.110,0.085,-0.008
0.085,0.101,0.000
0.057,0.110,0.009
0.028,0.113,0.015
-0.002,0.110,0.016
-0.032,0.105,0.010
-0.059,0.101,-0.000
-0.082,0.099,-0.010
-0.097,0.096,-0.015
-0.105,0.089,-0.013
-0.107,0.078,-0.007
-0.103,0.062,-0.001
-0.095,0.043,0.001
-0.087,0.023,-0.001
-0.080,0.007,-0.007
-0.074,-0.005,-0.016
-0.069,-0.012,-0.030
-0.067,-0.020,-0.044
-0.072,-0.028,-0.057
-0.083,-0.031,-0.063
-0.095,-0.026,-0.062
-0.101,-0.014,-0.053
-0.096,0.000,-0.041
-0.080,0.012,-0.029
-0.054,0.023,-0.018
-0.022,0.033,-0.007
0.010,0.042,0.004
0.033,0.048,0.019
0.043,0.052,0.037
0.042,0.057,0.055
0.037,0.065,0.068
0.030,0.074,0.073
0.022,0.084,0.071
0.014,0.093,0.063
0.007,0.098,0.051
0.008,0.093,0.038
0.018,0.078,0.026
0.034,0.056,0.020
0.054,0.032,0.020
0.071,0.013,0.027
0.085,0.000,0.036
0.094,-0.009,0.039
0.101,-0.018,0.033
0.104,-0.030,0.019
0.104,-0.043,0.003
0.102,-0.053,-0.007
0.098,-0.059,-0.011
0.091,-0.063,-0.011
0.083,-0.065,-0.010
0.078,-0.068,-0.012
0.078,-0.073,-0.020
0.080,-0.076,-0.033
0.078,-0.073,-0.049
0.064,-0.062,-0.062
0.039,-0.044,-0.065
0.008,-0.024,-0.057
-0.022,-0.007,-0.041
-0.042,0.001,-0.021
-0.051,-0.002,-0.005
-0.051,-0.014,0.001
-0.050,-0.031,-0.003
-0.056,-0.047,-0.012
-0.072,-0.057,-0.019
-0.095,-0.061,-0.018
-0.119,-0.063,-0.012
-0.137,-0.063,-0.003
-0.145,-0.063,0.008
-0.145,-0.061,0.020
-0.139,-0.053,0.034
-0.130,-0.040,0.046
-0.119,-0.024,0.052
-0.109,-0.012,0.050
-0.101,-0.009,0.042
-0.094,-0.016,0.030
-0.087,-0.031,0.018
-0.078,-0.047,0.008
-0.066,-0.063,0.002
-0.052,-0.079,0.000
-0.036,-0.094,0.000
-0.019,-0.110,0.001
-0.003,-0.123,0.002
0.009,-0.133,0.001
0.017,-0.137,-0.003
0.021,-0.132,-0.009
0.020,-0.120,-0.015
0.015,-0.103,-0.021
0.014,-0.084,-0.029
0.021,-0.067,-0.036
0.033,-0.054,-0.038
0.048,-0.046,-0.033
0.063,-0.042,-0.022
0.075,-0.042,-0.010
0.083,-0.043,0.001
0.085,-0.044,0.008
0.082,-0.042,0.010
0.077,-0.036,0.010
0.072,-0.026,0.012
0.068,-0.018,0.013
0.068,-0.014,0.012
0.070,-0.019,0.005
0.074,-0.033,-0.009
0.076,-0.052,-0.025
0.073,-0.071,-0.040
0.061,-0.082,-0.050
0.040,-0.080,-0.055
0.012,-0.064,-0.055
-0.017,-0.037,-0.050
-0.041,-0.004,-0.042
-0.053,0.030,-0.030
-0.055,0.060,-0.016
-0.048,0.080,-0.003
-0.034,0.088,0.004
-0.020,0.084,0.005
-0.009,0.072,0.001
-0.009,0.056,-0.007
-0.021,0.041,-0.015
-0.041,0.034,-0.020
-0.062,0.037,-0.021
-0.077,0.047,-0.017
-0.083,0.059,-0.011
-0.081,0.066,-0.005
-0.073,0.067,-0.000
-0.065,0.059,0.003
-0.061,0.047,0.007
-0.059,0.033,0.014
-0.056,0.022,0.024
-0.046,0.015,0.037
-0.030,0.010,0.046
-0.010,0.005,0.048
0.007,-0.001,0.039
0.018,-0.009,0.025
0.023,-0.017,0.012
0.023,-0.022,0.005
0.019,-0.021,0.005
0.012,-0.013,0.008
0.005,0.001,0.010
-0.001,0.019,0.010
-0.004,0.039,0.008
-0.005,0.056,0.006
-0.005,0.067,0.005
-0.001,0.073,0.005
0.006,0.073,0.003
0.013,0.069,0.003
0.018,0.065,0.003
0.016,0.068,0.004
0.007,0.079,0.008
-0.007,0.098,0.011
-0.020,0.115,0.013
-0.029,0.124,0.012
-0.030,0.120,0.009
-0.025,0.105,0.005
-0.021,0.085,0.001
-0.021,0.065,-0.003
-0.024,0.047,-0.007
-0.029,0.031,-0.011
-0.034,0.016,-0.014
-0.037,0.003,-0.015
-0.035,-0.004,-0.014
-0.028,-0.009,-0.013
-0.016,-0.014,-0.014
0.001,-0.025,-0.017
0.021,-0.045,-0.020
0.044,-0.071,-0.022
0.066,-0.100,-0.026
0.080,-0.128,-0.030
0.082,-0.151,-0.036
0.072,-0.168,-0.041
0.054,-0.177,-0.045
0.036,-0.175,-0.046
0.024,-0.161,-0.044
0.020,-0.140,-0.038
0.022,-0.113,-0.030
0.025,-0.087,-0.023
0.028,-0.066,-0.017
0.031,-0.052,-0.012
0.034,-0.046,-0.008
0.036,-0.047,-0.005
0.038,-0.050,-0.003
0.041,-0.055,-0.002
0.042,-0.061,-0.002
0.039,-0.066,-0.003
0.028,-0.071,-0.003
0.010,-0.074,-0.003
-0.008,-0.072,-0.003
-0.019,-0.066,-0.003
-0.019,-0.057,-0.002
-0.009,-0.042,0.000
0.005,-0.024,0.002
0.015,0.000,0.003
0.018,0.028,0.003
0.016,0.056,0.005
0.011,0.082,0.010
0.009,0.105,0.018
0.009,0.123,0.026
0.010,0.132,0.030
0.010,0.130,0.028
0.008,0.120,0.021
0.004,0.110,0.014
0.001,0.102,0.010
-0.002,0.101,0.009
-0.005,0.104,0.009
-0.010,0.110,0.008
-0.021,0.115,0.007
-0.036,0.119,0.007
-0.056,0.121,0.007
-0.078,0.121,0.006
-0.097,0.119,0.005
-0.109,0.116,0.004
-0.110,0.114,0.006
-0.103,0.115,0.009
-0.090,0.115,0.011
-0.074,0.112,0.010
-0.057,0.101,0.007
-0.038,0.084,0.003
-0.021,0.065,0.001
-0.005,0.049,-0.001
0.008,0.039,-0.007
0.018,0.037,-0.017
0.023,0.042,-0.025
0.025,0.051,-0.030
0.026,0.055,-0.032
0.030,0.053,-0.033
0.036,0.041,-0.036
0.042,0.023,-0.039
0.048,0.001,-0.040
0.054,-0.021,-0.039
0.061,-0.041,-0.036
0.067,-0.056,-0.033
0.069,-0.067,-0.030
0.067,-0.074,-0.028
0.063,-0.077,-0.023
0.061,-0.073,-0.018
0.060,-0.064,-0.011
0.061,-0.053,-0.006
0.063,-0.042,-0.002
0.065,-0.035,0.001
0.065,-0.031,0.007
0.063,-0.027,0.015
0.059,-0.024,0.023
0.053,-0.022,0.027
0.047,-0.023,0.027
0.042,-0.029,0.024
0.034,-0.035,0.020
0.023,-0.039,0.016
0.009,-0.035,0.013
-0.010,-0.023,0.010
-0.030,-0.003,0.006
-0.052,0.021,0.001
-0.071,0.048,-0.004
-0.087,0.071,-0.010
-0.100,0.086,-0.015
-0.105,0.092,-0.016
-0.101,0.091,-0.012
-0.089,0.085,-0.007
-0.073,0.073,-0.005
-0.055,0.059,-0.006
-0.037,0.043,-0.009
-0.020,0.031,-0.009
-0.006,0.026,-0.008
0.003,0.031,-0.006
0.006,0.041,-0.003
0.003,0.053,-0.001
-0.005,0.064,-0.001
-0.018,0.072,-0.003
-0.030,0.074,-0.006
-0.041,0.071,-0.009
-0.045,0.063,-0.010
-0.046,0.051,-0.011
-0.042,0.038,-0.013
-0.035,0.024,-0.016
-0.024,0.009,-0.021
-0.010,-0.005,-0.024
0.007,-0.014,-0.022
0.026,-0.016,-0.016
0.044,-0.010,-0.005
0.057,0.000,0.007
0.060,0.010,0.015
0.054,0.013,0.018
0.044,0.007,0.014
0.035,-0.008,0.003
0.029,-0.024,-0.012
0.025,-0.037,-0.024
0.021,-0.045,-0.031
0.016,-0.046,-0.031
0.014,-0.043,-0.023
